"Issue Type","Summary","Description","Priority","Story Points","Labels","Component","Epic Link","Fix Version","Acceptance Criteria"
"Story","US-AUTH-01 Connexion utilisateur","En tant qu'utilisateur, je veux me connecter avec mes identifiants afin d'acceder aux fonctionnalites autorisees. Acteur: tous les utilisateurs internes. Dependances: referentiel utilisateurs. Strategie de test: tests unitaires sur validation des identifiants; tests d'integration sur scenario de connexion reussie et echouee.","P0","3","functional,security,unit-test,mvp","Authentification","Authentification et sécurité","R1 - Authentification et utilisateurs","connexion acceptee avec identifiants valides; refus avec identifiants invalides; message d'erreur clair; acces limite apres connexion selon le role."
"Story","US-AUTH-02 Deconnexion utilisateur","En tant qu'utilisateur connecte, je veux me deconnecter afin de fermer ma session. Acteur: tous les utilisateurs internes. Dependances: US-AUTH-01. Strategie de test: test fonctionnel de fin de session; test de protection apres deconnexion.","P0","2","functional,security,mvp","Authentification","Authentification et sécurité","R1 - Authentification et utilisateurs","session fermee; retour vers l'ecran de connexion; acces aux pages protegees refuse apres deconnexion."
"Story","US-AUTH-03 Protection des acces","En tant qu'administrateur, je veux que chaque fonctionnalite soit protegee selon les roles afin d'eviter les actions non autorisees. Acteur: administrateur. Dependances: US-AUTH-01, US-USER-02. Strategie de test: tests unitaires des permissions; tests d'integration par role.","P0","5","functional,security,unit-test,mvp","Authentification","Authentification et sécurité","R1 - Authentification et utilisateurs","acces autorise pour les roles prevus; acces refuse pour les roles non autorises; tentative refusee tracee."
"Story","US-USER-01 Creer un utilisateur","En tant qu'administrateur, je veux creer un compte utilisateur afin de donner acces au systeme a un acteur autorise. Acteur: administrateur. Dependances: aucune. Strategie de test: tests unitaires de validation; test d'integration de creation.","P0","3","functional,security,unit-test,mvp","Utilisateurs","Gestion utilisateurs et rôles","R1 - Authentification et utilisateurs","creation avec informations obligatoires; refus si email deja utilise; utilisateur cree avec statut actif ou inactif."
"Story","US-USER-02 Attribuer un role","En tant qu'administrateur, je veux attribuer un role afin d'accorder les permissions adaptees. Acteur: administrateur. Dependances: US-USER-01. Strategie de test: tests unitaires sur mapping role-permissions; test d'integration d'acces par role.","P0","3","functional,security,unit-test,mvp","Roles","Gestion utilisateurs et rôles","R1 - Authentification et utilisateurs","role selectionnable; permissions appliquees; modification tracee."
"Story","US-USER-03 Desactiver un utilisateur","En tant qu'administrateur, je veux desactiver un compte afin d'empecher un ancien utilisateur d'acceder au systeme. Acteur: administrateur. Dependances: US-USER-01, US-AUTH-01. Strategie de test: test de connexion refusee; test de conservation des donnees liees.","P1","3","functional,security,unit-test","Utilisateurs","Gestion utilisateurs et rôles","R1 - Authentification et utilisateurs","compte desactive; connexion impossible; historique conserve; ressources ou demandes associees non supprimees."
"Story","US-DEPT-01 Creer un departement","En tant qu'administrateur, je veux creer un departement afin de representer l'organisation de la faculte. Acteur: administrateur. Dependances: US-AUTH-03. Strategie de test: tests unitaires de validation; test d'integration CRUD.","P1","2","functional,unit-test,mvp","Departements","Gestion départements","R2 - Departements et besoins","nom obligatoire; nom unique; departement consultable apres creation."
"Story","US-DEPT-02 Rattacher un utilisateur","En tant qu'administrateur, je veux rattacher un utilisateur a un departement afin de consolider les demandes et affectations. Acteur: administrateur. Dependances: US-USER-01, US-DEPT-01. Strategie de test: test relation utilisateur-departement; test de modification.","P1","3","functional,unit-test,mvp","Departements","Gestion départements","R2 - Departements et besoins","utilisateur rattache; modification visible dans la fiche utilisateur; historique conserve."
"Story","US-DEPT-03 Declarer un besoin","En tant que chef de departement, je veux declarer un besoin materiel afin de demander une acquisition. Acteur: chef de departement. Dependances: US-DEPT-01, US-AUTH-03. Strategie de test: tests de validation formulaire; test d'etat initial.","P1","3","functional,unit-test,mvp","Departements","Gestion départements","R2 - Departements et besoins","type, quantite, justification et priorite obligatoires; statut initial cree; demande consultable."
"Story","US-SUP-01 Ajouter un fournisseur","En tant que responsable des ressources, je veux referencer un fournisseur afin de pouvoir le solliciter. Acteur: responsable des ressources. Dependances: US-AUTH-03. Strategie de test: tests unitaires de validation; test d'ajout et consultation.","P1","3","functional,unit-test,mvp","Fournisseurs","Gestion fournisseurs","R3 - Fournisseurs et appels d'offres","informations obligatoires renseignees; fournisseur actif par defaut; doublon evite."
"Story","US-SUP-02 Historique fournisseur","En tant que responsable des ressources, je veux consulter les offres et interventions liees a un fournisseur afin d'evaluer sa fiabilite. Acteur: responsable des ressources. Dependances: US-SUP-01, US-TEND-03, US-MAINT-04. Strategie de test: test de recuperation historique; test de filtrage.","P2","3","functional,unit-test","Fournisseurs","Gestion fournisseurs","R3 - Fournisseurs et appels d'offres","offres affichees; interventions affichees; donnees filtrees par fournisseur."
"Story","US-SUP-03 Desactiver un fournisseur","En tant que responsable des ressources, je veux desactiver un fournisseur afin de ne plus l'utiliser dans de nouveaux appels d'offres. Acteur: responsable des ressources. Dependances: US-SUP-01. Strategie de test: test statut inactif; test exclusion selection.","P2","2","functional,unit-test","Fournisseurs","Gestion fournisseurs","R3 - Fournisseurs et appels d'offres","fournisseur inactif; non proposable dans les nouveaux appels d'offres; historique conserve."
"Story","US-TEND-01 Creer un appel d'offre","En tant que responsable des ressources, je veux creer un appel d'offre afin de consulter les fournisseurs. Acteur: responsable des ressources. Dependances: US-DEPT-03, US-SUP-01. Strategie de test: tests de validation; test de creation avec besoins rattaches.","P1","5","functional,unit-test,mvp","AppelsOffres","Gestion appels d’offres","R3 - Fournisseurs et appels d'offres","objet, besoins, criteres et date limite renseignes; statut brouillon; rattachement possible aux besoins valides."
"Story","US-TEND-02 Publier un appel d'offre","En tant que responsable des ressources, je veux publier un appel d'offre afin de le rendre accessible aux fournisseurs concernes. Acteur: responsable des ressources. Dependances: US-TEND-01, US-NOTIF-01. Strategie de test: test transition statut; test blocage si informations incompletes.","P1","3","functional,unit-test,mvp","AppelsOffres","Gestion appels d’offres","R3 - Fournisseurs et appels d'offres","seuls les appels complets sont publiables; statut publie; fournisseurs notifiables."
"Story","US-TEND-03 Enregistrer une offre","En tant que responsable des ressources, je veux enregistrer une offre afin de comparer les propositions recues. Acteur: responsable des ressources. Dependances: US-TEND-02, US-SUP-01. Strategie de test: test association offre-appel d'offre; test validation champs.","P1","3","functional,unit-test,mvp","AppelsOffres","Gestion appels d’offres","R3 - Fournisseurs et appels d'offres","fournisseur associe; montant, delai, garantie et description renseignes; offre rattachee a l'appel d'offre."
"Story","US-TEND-04 Selectionner une offre","En tant que responsable des ressources, je veux selectionner l'offre retenue afin de finaliser l'acquisition. Acteur: responsable des ressources. Dependances: US-TEND-03. Strategie de test: test unicite offre retenue; test transition statut; test audit.","P1","5","functional,unit-test,mvp","AppelsOffres","Gestion appels d’offres","R3 - Fournisseurs et appels d'offres","une seule offre retenue; justification saisie; appel d'offre attribue; offres non retenues archivees."
"Story","US-RES-01 Enregistrer une ressource","En tant que responsable des ressources, je veux enregistrer une ressource afin de l'integrer a l'inventaire. Acteur: responsable des ressources. Dependances: US-SUP-01. Strategie de test: test generation identifiant; test validation inventaire.","P0","5","functional,unit-test,mvp","Ressources","Gestion ressources matérielles","R4 - Ressources et inventaire","identifiant unique; categorie, etat, localisation et fournisseur renseignes; ressource consultable."
"Story","US-RES-02 Consulter l'inventaire","En tant que responsable des ressources, je veux consulter l'inventaire afin de connaitre les ressources disponibles et leur etat. Acteur: responsable des ressources. Dependances: US-RES-01. Strategie de test: tests de filtrage; test pagination; test consultation detail.","P0","3","functional,unit-test,mvp","Ressources","Gestion ressources matérielles","R4 - Ressources et inventaire","liste paginee; filtre par categorie, statut et departement; detail accessible."
"Story","US-RES-03 Modifier l'etat d'une ressource","En tant que responsable des ressources, je veux mettre a jour l'etat d'une ressource afin de refleter sa disponibilite. Acteur: responsable des ressources. Dependances: US-RES-01, US-AUDIT-01. Strategie de test: test transitions autorisees; test trace d'audit.","P1","3","functional,unit-test","Ressources","Gestion ressources matérielles","R4 - Ressources et inventaire","etats autorises controles; changement trace; historique conserve."
